[2],[3]
1295.056369047619,1332.4642261904762
1314.083492063492,1307.8885714285714
1321.9535714285714,1319.9888095238096
1280.405496031746,1286.903373015873
1315.2798412698412,1268.5275992063491
1293.7734126984126,1301.607123015873
1277.6218055555555,1256.6834126984127
1262.9630555555555,1272.2587103174603
1320.79248015873,1273.5195833333332
1304.8607936507935,1304.547142857143
1286.4180753968253,1307.0919642857143
1261.78123015873,1261.2180952380952
1302.9912896825397,1329.4914682539682
1267.1699404761905,1286.1575793650793
1264.3638293650793,1277.890138888889
1280.9975793650794,1290.5735714285715
1289.685119047619,1282.7918055555556
1312.3864484126984,1282.040238095238
1286.9146031746031,1283.5716666666667
1272.839126984127,1312.9530555555555
1290.592876984127,1260.104761904762
1311.0518849206348,1328.9159722222223
1289.0651984126985,1295.6979563492064
1256.5770436507937,1278.530238095238
1264.9878174603175,1296.084126984127
1275.3500793650794,1306.5349007936509
1279.126507936508,1308.4745833333334
1273.2254365079366,1305.882003968254
1297.6123412698412,1296.593234126984
1277.845,1337.0260119047618
